Entity,GDP,IF
Angola,7568998,3795
Argentina,23189527,6599
Belgium,49829926,6891
Bolivia,8202544,5823
Brazil,14451153,6635
Colombia,14194516,6357
Denmark,54185008,7522
Ecuador,11551616,6008
Germany,51879.67,6951
Guatemala,8206048,6454
Hong Kong,58096.3,5472
India,5851395,4315
Japan,40754.1,5.92
Kuwait,54708.98,6105
Luxembourg,116283.7,6863
Mexico,19539262,6578
Morocco,7105856,5235
Netherlands,53847.83,7377
Nicaragua,5811805,6071
Pakistan,4421582,5269
Panama,29332377,6452
Peru,124036875,5715
Portugal,31847537,5195
Qatar,95601805,6375
Russia,25490709,5963
Saudi Arabia,48625844,6344
Singapore,91307.5,6572
Slovenia,34853043,5758
South Africa,13897.14,4829
Spain,38477.58,6403
Sudan,4677.16,4139
Switzerland,68663.24,7494
Tanzania,2441637,3349
Togo,19768077,3495
Turkey,26385002,5.5
Ukraine,11536316,4096
United States,59112242,6993
Uruguay,22724021,6454
Vietnam,6767779,5074
Zambia,34678875,4514
